site_id,site_name,cpt_name,borehole_id,latitude,longitude,qc10_mpa,qc50_mpa,ic_median,theta_z_m,n_profile_points,data_source
Canterbury_00982,CPT-BUR-49TT.xls,CPT-BUR-49TT,CPT-BUR-49,-43.48879555,172.6895582,0.9696,5.7132,1.134854314705907,0.5999999999999872,1770,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00983,CPT-BUR-57TT.xls,CPT-BUR-57TT,CPT-BUR-57,-43.501776,172.69206297,1.5308,5.0771999999999995,1.3793235981578258,0.5999999999999872,3278,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00984,CPT-BUR-58TT.xls,CPT-BUR-58TT,CPT-BUR-58,-43.50191448,172.69282123,0.7276,5.9426000000000005,1.3919927847295033,0.5999999999999872,3291,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00985,CPT-BUR-59TT.xls,CPT-BUR-59TT,CPT-BUR-59,-43.50173944,172.69455146,0.6656,3.804,1.345246485964764,0.5999999999999872,3319,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00986,CPT-BUR-60TT.xls,CPT-BUR-60TT,CPT-BUR-60,-43.5015446,172.69547931,1.6034000000000002,5.4052,1.2973047985412574,0.5999999999999872,3385,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00987,CPT-BUR-70TT.xls,CPT-BUR-70TT,CPT-BUR-70,-43.50019399,172.70046292,4.5778,7.7132,1.3581220682543031,0.5999999999999872,2124,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00988,CPT-BUR-71TT.xls,CPT-BUR-71TT,CPT-BUR-71,-43.50037261,172.69741862,4.316,7.1246,1.2882590482572869,0.5999999999999872,2146,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00989,CPT-BUR-72TT.xls,CPT-BUR-72TT,CPT-BUR-72,-43.50041407,172.69502215,3.5328000000000004,9.349,1.3430438833482687,0.5999999999999872,2151,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00990,CPT-BUR-73TT.xls,CPT-BUR-73TT,CPT-BUR-73,-43.50098485,172.69237188,2.8114,6.6988,1.603858659316648,0.5999999999999872,2855,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00991,CPT-BUR-74TT.xls,CPT-BUR-74TT,CPT-BUR-74,-43.50129723,172.69078167,0.45139999999999997,6.7772,1.619999397449153,0.5999999999999872,2271,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00992,CPT-BUR-75TT.xls,CPT-BUR-75TT,CPT-BUR-75,-43.49991026,172.68783235,1.2218,5.119800000000001,1.5756164029384367,0.5999999999999872,2777,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00993,CPT-BUR-77TT.xls,CPT-BUR-77TT,CPT-BUR-77,-43.49943851,172.69735117,2.066,6.1838,1.1612203884912078,0.5999999999999872,3451,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00994,CPT-BUR-78TT.xls,CPT-BUR-78TT,CPT-BUR-78,-43.49785315,172.70035116,2.1834000000000002,5.174,1.5804921723287695,0.5999999999999872,2585,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00995,CPT-BUR-79TT.xls,CPT-BUR-79TT,CPT-BUR-79,-43.4963248,172.70041469,0.36760000000000004,4.559399999999999,1.523042681585312,0.5999999999999872,2078,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
