scenario,gradation,year,layer,z_mid_m,gw_depth_m,fc_pct,pga_g,n160,n1_60cs,csr,pf_nonstationary,fs_deterministic_nonstationary,crr_benchmark_module,crr_bi14_spt_style,fs_bi14_spt_style,delta_fs_bi14_minus_benchmark,pf_bi14_spt_style_diagnostic,delta_pf_bi14_minus_benchmark,method_status
stationary,fines_washout,44,L3,8.0,3.2,17.48,0.28,18.0,22.25653696237491,0.2525321682637648,0.27466666666666667,1.2573783460631132,0.31752848005922435,0.21163508353099142,0.8380519796192571,-0.419326366443856,0.7379723907453097,0.46330572407864307,direct_spt_model_form_check_not_site_validation
stationary,fines_washout,46,L3,8.0,3.2,17.32,0.28,18.0,22.202701260383364,0.2525321682637648,0.27375,1.2533950579883584,0.31652257168488734,0.21087873111826277,0.8350569060889074,-0.418338151899451,0.7421595789596293,0.46840957895962926,direct_spt_model_form_check_not_site_validation
stationary,fines_washout,48,L3,8.0,3.2,17.16,0.28,18.0,22.14837054520852,0.2525321682637648,0.27525,1.2493817929815618,0.3155090931709039,0.21012075957125295,0.8320554209623942,-0.41732637201916767,0.746335529144526,0.47108552914452606,direct_spt_model_form_check_not_site_validation
stationary,fines_washout,50,L3,8.0,3.2,17.0,0.28,18.0,22.093538537185058,0.2525321682637648,0.28175,1.2453382709153948,0.3144879737761124,0.20936116216272047,0.8290474976005707,-0.4162907733148241,0.7504994694661673,0.4687494694661673,direct_spt_model_form_check_not_site_validation
stationary,fines_washout,0,L4,12.5,3.2,28.0,0.28,24.0,31.877396808363123,0.25531164001555773,0.042416666666666665,1.9234196628931783,0.49107142857142855,0.5643423913928823,2.2104060408624275,0.2869863779692492,0.002116424803914052,-0.04030024186275261,direct_spt_model_form_check_not_site_validation
stationary,fines_washout,2,L4,12.5,3.2,27.84,0.28,24.0,31.834236085951183,0.25531164001555773,0.04041666666666666,1.9234196628931783,0.49107142857142855,0.5606041111969522,2.195764012807215,0.27234434991403655,0.002281978220488312,-0.03813468844617835,direct_spt_model_form_check_not_site_validation
stationary,fines_washout,4,L4,12.5,3.2,27.68,0.28,24.0,31.790977820887605,0.25531164001555773,0.04158333333333333,1.9234196628931783,0.49107142857142855,0.5568976468311293,2.181246600418195,0.2578269375250166,0.002458826979593487,-0.039124506353739846,direct_spt_model_form_check_not_site_validation
stationary,fines_washout,6,L4,12.5,3.2,27.52,0.28,24.0,31.747618917645063,0.25531164001555773,0.03991666666666667,1.9234196628931783,0.49107142857142855,0.5532224752142044,2.1668517549003763,0.24343209200719795,0.002647620315444188,-0.03726904635122248,direct_spt_model_form_check_not_site_validation
stationary,fines_washout,8,L4,12.5,3.2,27.36,0.28,24.0,31.70415621480726,0.25531164001555773,0.03983333333333333,1.9234196628931783,0.49107142857142855,0.5495780805935653,2.1525774561632836,0.22915779327010521,0.002849037045765279,-0.03698429628756805,direct_spt_model_form_check_not_site_validation
stationary,fines_washout,10,L4,12.5,3.2,27.2,0.28,24.0,31.660586483761477,0.25531164001555773,0.04058333333333333,1.9234196628931783,0.49107142857142855,0.5459639544276437,2.138421712360528,0.2150020494673497,0.0030637865031256095,-0.03751954683020772,direct_spt_model_form_check_not_site_validation
stationary,fines_washout,12,L4,12.5,3.2,27.04,0.28,24.0,31.61690642737865,0.25531164001555773,0.041416666666666664,1.9234196628931783,0.49107142857142855,0.5423795952726239,2.124382559446069,0.20096289655289046,0.0032926094765658998,-0.038124057190100764,direct_spt_model_form_check_not_site_validation
