scenario,gradation,year,stationary,nonstationary,max_layer_pf,frechet_lower,frechet_upper,psys_independent_layers,delta
rising,fines_washout,38,0.3758958333333333,0.5180208333333334,0.8215833333333333,0.8215833333333333,1.0,0.977273741300625,0.14212500000000006
rising,fines_washout,40,0.3758958333333333,0.5241875,0.8265,0.8265,1.0,0.9790776726013055,0.1482916666666667
rising,fines_washout,42,0.3758958333333333,0.5336041666666667,0.8403333333333334,0.8403333333333334,1.0,0.9822509031360448,0.15770833333333334
rising,fines_washout,44,0.3758958333333333,0.5449999999999999,0.8511666666666666,0.8511666666666666,1.0,0.9849754429289601,0.1691041666666666
rising,fines_washout,46,0.3758958333333333,0.5537708333333333,0.8595,0.8595,1.0,0.9867830160678047,0.177875
rising,fines_washout,48,0.3758958333333333,0.56425,0.8745833333333334,0.8745833333333334,1.0,0.989329149583776,0.1883541666666667
rising,fines_washout,50,0.3758958333333333,0.5728958333333333,0.8854166666666666,0.8854166666666666,1.0,0.9912360851732253,0.19699999999999995
seasonal,constant,0,0.37314583333333334,0.3754166666666667,0.7406666666666667,0.7406666666666667,1.0,0.9032265801575586,0.002270833333333333
seasonal,constant,2,0.37314583333333334,0.3481875,0.7414166666666666,0.7414166666666666,1.0,0.8841691045066659,-0.02495833333333336
seasonal,constant,4,0.37314583333333334,0.36193749999999997,0.7439166666666667,0.7439166666666667,1.0,0.8949960441291137,-0.011208333333333376
seasonal,constant,6,0.37314583333333334,0.3932291666666667,0.74275,0.74275,1.0,0.9147475619257657,0.020083333333333342
seasonal,constant,8,0.37314583333333334,0.40725,0.7410833333333333,0.7410833333333333,1.0,0.9227643649786539,0.03410416666666666
seasonal,constant,10,0.37314583333333334,0.3807083333333333,0.7453333333333333,0.7453333333333333,1.0,0.907406193710125,0.007562499999999972
seasonal,constant,12,0.37314583333333334,0.3569791666666667,0.74275,0.74275,1.0,0.8906983175423567,-0.016166666666666663
seasonal,constant,14,0.37314583333333334,0.3645625,0.7411666666666666,0.7411666666666666,1.0,0.8956831087238403,-0.008583333333333332
seasonal,constant,16,0.37314583333333334,0.39393750000000005,0.7325,0.7325,1.0,0.913563598303287,0.020791666666666708
seasonal,constant,18,0.37314583333333334,0.41475,0.7516666666666667,0.7516666666666667,1.0,0.9286407401523438,0.041604166666666664
seasonal,constant,20,0.37314583333333334,0.38514583333333335,0.7404166666666666,0.7404166666666666,1.0,0.9087569795081655,0.01200000000000001
seasonal,constant,22,0.37314583333333334,0.36125,0.7430833333333333,0.7430833333333333,1.0,0.8937104605170034,-0.011895833333333328
seasonal,constant,24,0.37314583333333334,0.37235416666666665,0.7451666666666666,0.7451666666666666,1.0,0.9021193217602305,-0.0007916666666666905
seasonal,constant,26,0.37314583333333334,0.406375,0.7380833333333333,0.7380833333333333,1.0,0.922045537450777,0.03322916666666664
seasonal,constant,28,0.37314583333333334,0.4229375,0.75175,0.75175,1.0,0.9334296881456988,0.04979166666666668
seasonal,constant,30,0.37314583333333334,0.3923333333333333,0.74975,0.74975,1.0,0.9159155592652901,0.01918749999999997
