case_no,earthquake,site,liquefied,mw,pga,csr75,fc_pct,gc_pct,n120,vs1_ms,dw_m,ds_m,hn_m,dn_m,shallow_groundwater_index,demand_index,dpt_resistance_index,vs_resistance_index,capping_index,dpt_screening_score,vs_screening_score,combined_instrument_score,n120_cs,crr_static_benchmark,fs_static_proxy,g_static_proxy,minus_g_static_proxy,pf_static_proxy
147.0,Chi-Chi earthquake,"NanTou, BH-8",0.0,7.6,0.428,0.3345767174179833,11.0,57.0,11.67431253698141,200.23943464902536,5.0,8.8,4.3,0.7000000000000002,-1.2049222475421388,0.02668322655259061,0.37359194876931334,0.31219499959504865,-0.08764473273468033,-0.12128164956570203,-0.13970073431798144,-0.0988701671788827,13.192431706247417,0.1715019409067307,0.5125937699139869,-0.48740623008601314,0.48740623008601314,0.9920204399505536
148.0,Chi-Chi earthquake,"NanTou, BH-9",0.0,7.6,0.428,0.2888142208769889,26.0,2.0,15.859577884583391,248.1366946529488,9.6,16.2,1.4,0.0,-3.4798039539149985,-0.24768496824826144,-0.09967726483720825,-0.5884638805161158,0.460093047575911,-0.8143175535670844,-0.9609535382707566,-0.8972741063617605,22.191827127131248,0.31631959191851106,1.0952355149202893,0.09523551492028925,-0.09523551492028925,0.37143914933569133
149.0,Chi-Chi earthquake,"NanTou, BH-10",0.0,7.6,0.428,0.3812479804202934,16.0,46.0,12.10803776562107,203.68183047332235,2.4,5.8,0.0,2.4,0.08088045605991216,0.3064999137289273,0.3245463612542438,0.2474642745440392,-1.417865056346116,0.1805717079489671,0.1574470819359057,0.1669599353594578,15.52900684365482,0.20465389552551458,0.5367999465856871,-0.4632000534143129,0.4632000534143129,0.9875663333874545
150.0,Chi-Chi earthquake,"NanTou, BH-14",0.0,7.6,0.428,0.4135822002969292,16.0,55.0,6.4640108573165,165.92512000065707,1.5,18.8,9.0,0.0,0.5259660073067759,0.5003591261497194,0.9627721258399536,0.9574405146923615,0.460093047575911,0.6421910983595106,0.640591615015233,0.6873660760990156,9.580202482301802,0.12639021973574158,0.3055987894184043,-0.6944012105815958,0.6944012105815958,0.9999904413373155
152.0,Chi-Chi earthquake,"WuFeng, BH-3",0.0,7.6,0.789,0.8212623697697617,16.0,5.0,16.05892721413021,247.73391500357343,1.3,11.0,0.0,1.3,0.6248739075838567,2.944597981304101,-0.12221965882942376,-0.5808900220551461,-0.557134258715187,1.3855212625190303,1.2479201535513136,0.9871054258605333,19.693244322383453,0.2714717642688547,0.3305542470489193,-0.6694457529510807,0.6694457529510807,0.9999672253608789
153.0,Chi-Chi earthquake,"WuFeng, BH-14",1.0,7.6,0.79,0.6813170288019774,21.0,18.0,10.778703317446816,198.98435791979117,3.5,7.0,,,-0.46311299546403256,2.1055582987176233,0.4748673126529313,0.3357954310458885,0.460093047575911,1.020343481504799,0.9786219170226863,0.8294600065769212,15.486067402728114,0.20401651995613088,0.29944432816375066,-0.7005556718362493,0.7005556718362493,0.9999931408614671
154.0,Chi-Chi earthquake,WuFeng -Fu Tin Bridge,1.0,7.6,0.79,0.5651973378304992,3.0,53.0,10.03047863463204,189.71013921878995,4.5,5.5,0.5,0.0,-0.9576524968494368,1.4093648564709302,0.5594764539681009,0.5101876077270924,0.460093047575911,0.633531274611257,0.6187446207389545,0.5386846651127725,10.03047863463204,0.1316067565864052,0.23285098456333073,-0.7671490154366692,0.7671490154366692,0.9999999261333006
155.0,Chi-Chi earthquake,"YuanLin, BH-02",0.0,7.6,0.19,0.1416456942110079,28.0,47.0,13.62386374629818,234.91514275990477,7.0,16.2,3.6,0.0,-2.194001250312948,-1.1300311260168834,0.15313697373466076,-0.33984614913972305,0.460093047575911,-0.8783685122709933,-1.0262634491333087,-0.8486483268707157,20.067672055765403,0.2779652415443816,1.9623981024816761,0.9623981024816761,-0.9623981024816761,0.007526337051845633
156.0,Chi-Chi earthquake,"YuanLin, BH-14",0.0,7.6,0.19,0.1964303063223503,15.0,45.0,16.46605502473132,251.9868778319351,1.6,12.8,0.5,0.0,0.47651205716823547,-0.8015710055252295,-0.1682576140742286,-0.6608626287936704,0.460093047575911,-0.29287717289617926,-0.44065867731201175,-0.32806683669496745,19.756148571830863,0.27255707631856096,1.3875510425121644,0.38755104251216443,-0.38755104251216443,0.11877341233377448
157.0,Chi-Chi earthquake,"YuanLin, BH-40",0.0,7.6,0.19,0.1893241002638528,10.0,55.0,14.555395965169508,225.18149448559137,1.2,12.2,0.0,1.2,0.6743278577223972,-0.8441761314585637,0.047799442166447895,-0.15681487024358243,-0.4788860043851025,-0.25461815518119496,-0.3160024489042041,-0.2063434603006999,15.739482292390031,0.2077933466655359,1.0975535939478562,0.09755359394785623,-0.09755359394785623,0.3685604694547674
