case_id,source_dataset,validation_split,earthquake,site,mw,pga,csr75,groundwater_table_m,critical_layer_depth_m,unsaturated_cap_or_cover_m,n120,vs1_ms,fc_pct,gc_pct,observed_liquefaction,n1_60cs_proxy,crr_static_benchmark,fs_static_proxy,g_static_proxy,pf_static_proxy,combined_instrument_score,dpt_screening_score,vs_screening_score
HU-058,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Finance building, Dujiangyan",7.9,0.31,0.2627507458226493,2.7,3.8,2.7,30.54511290093961,299.5707251842867,5.0,75.0,0,30.54511290093961,0.49107142857142855,1.868963024382395,0.8689630243823949,0.012060656800978564,-0.9006973048532491,-0.8059980372646802,-0.7445918225594571
HU-059,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Pilu Elementary School, Guanghan, DY-17",7.9,0.22,0.2522784151999729,1.4,5.2,0.0,9.666174968651776,182.77743163473357,10.0,26.1,1,10.744542762508333,0.14011687521868238,0.5554057215224548,-0.4445942784775452,0.9830216555093083,0.22297588114355815,0.10825958266674864,0.1202230447326987
HU-060,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Xinyi kindergarten, Pengzhou, B-2",7.9,0.26,0.2289492513873385,1.4,2.1,0.4,38.3747404492259,335.0229814960771,5.0,65.0,0,38.3747404492259,0.49107142857142855,2.144892047454784,1.1448920474547841,0.0029637056621996116,-1.0634645259127256,-0.9442395305383368,-0.8172143655854854
HU-061,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Lichun village, Pengzhou, CD-25",7.9,0.24,0.2195664815929135,2.4,4.1,0.0,11.599409962382133,160.3853185404632,5.0,59.0,1,11.599409962382133,0.15068827358936732,0.6862990766903594,-0.3137009233096406,0.912686224565806,0.09591481411694773,-0.14448700413762855,0.059377660340120805
HU-062,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Sandaoyan village, Pixian",7.9,0.18,0.1743270685264429,2.1,4.2,0.0,28.30649203849576,209.44516329776133,5.0,90.0,0,28.30649203849576,0.44112133388040825,2.53042363190715,1.53042363190715,0.0004072080646852494,-0.5316949505797101,-0.803639403477712,-0.30976042391642533
HU-063,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Majiamiao village, Pixian",7.9,0.2,0.1661145536313708,2.4,3.2,0.2,29.450995194127625,309.8464696026217,5.0,80.0,0,29.450995194127625,0.466854665657593,2.8104380709086008,1.8104380709086008,9.71475950714007e-05,-0.9898982209938042,-0.9021197664586496,-0.9357978067909353
HU-064,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Shidimiao village, Pixian",7.9,0.18,0.1619950188636109,4.0,7.0,2.4,30.647720143593062,322.0140199774207,5.0,80.0,0,30.647720143593062,0.49107142857142855,3.031398323332881,2.031398323332881,3.17727249136146e-05,-1.3156932093045635,-1.1981575003291407,-1.2598773882001104
HU-065,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Yongsheng village, Pixian",7.9,0.17,0.1628971197778086,3.4,7.1,1.8,27.454215133043387,346.3060328913989,5.0,75.0,0,27.454215133043387,0.42244473083414985,2.593322284705609,1.593322284705609,0.00029476218397084253,-1.2501140693749828,-1.004568117232815,-1.3116602547149234
HU-066,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Xinlian village, Emei, LS-01",7.9,0.13,0.1103390392018566,1.8,2.5,,21.729251565294486,235.71707221378463,,,1,,,,,,-0.5863488226113005,-0.7234785731981676,-0.6009305160026154
HU-067,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Wuli villiage, Suining, SN-01",7.9,0.09,0.1099468596040731,1.0,5.0,,6.661272262387184,160.77464789618256,,,1,,,,,,0.11457462921014903,-0.13424484986042384,-0.10009764104732334
