domain,model_name,false_negative_cost_ratio,threshold,expected_loss_per_case,tp,fp,tn,fn,n_cases,threshold_policy
Canterbury multi-site external transfer,M3_full_nonstationary_random_field,15.0,0.5,0.5435494021397105,6078,6972,2729,111,15890,fixed_threshold_0p50
Canterbury multi-site external transfer,M3_full_nonstationary_random_field,20.0,0.5,0.5784770295783511,6078,6972,2729,111,15890,fixed_threshold_0p50
Canterbury multi-site external transfer,M3_full_nonstationary_random_field,30.0,0.5,0.6483322844556325,6078,6972,2729,111,15890,fixed_threshold_0p50
Canterbury multi-site external transfer,M3_full_nonstationary_random_field,50.0,0.5,0.7880427942101951,6078,6972,2729,111,15890,fixed_threshold_0p50
Canterbury multi-site external transfer,M3_full_nonstationary_random_field,75.0,0.5,0.9626809314033984,6078,6972,2729,111,15890,fixed_threshold_0p50
Canterbury multi-site external transfer,M3_full_nonstationary_random_field,100.0,0.5,1.1373190685966017,6078,6972,2729,111,15890,fixed_threshold_0p50
Canterbury multi-site external transfer,conservative_max_M0_M3,1.0,0.5,0.46073001887979864,6146,7278,2423,43,15890,fixed_threshold_0p50
Canterbury multi-site external transfer,conservative_max_M0_M3,2.0,0.5,0.46343612334801765,6146,7278,2423,43,15890,fixed_threshold_0p50
Canterbury multi-site external transfer,conservative_max_M0_M3,3.0,0.5,0.46614222781623665,6146,7278,2423,43,15890,fixed_threshold_0p50
Canterbury multi-site external transfer,conservative_max_M0_M3,5.0,0.5,0.4715544367526746,6146,7278,2423,43,15890,fixed_threshold_0p50
Canterbury multi-site external transfer,conservative_max_M0_M3,7.5,0.5,0.47831969792322215,6146,7278,2423,43,15890,fixed_threshold_0p50
Canterbury multi-site external transfer,conservative_max_M0_M3,10.0,0.5,0.48508495909376964,6146,7278,2423,43,15890,fixed_threshold_0p50
Canterbury multi-site external transfer,conservative_max_M0_M3,15.0,0.5,0.49861548143486467,6146,7278,2423,43,15890,fixed_threshold_0p50
Canterbury multi-site external transfer,conservative_max_M0_M3,20.0,0.5,0.5121460037759598,6146,7278,2423,43,15890,fixed_threshold_0p50
Canterbury multi-site external transfer,conservative_max_M0_M3,30.0,0.5,0.5392070484581498,6146,7278,2423,43,15890,fixed_threshold_0p50
Canterbury multi-site external transfer,conservative_max_M0_M3,50.0,0.5,0.5933291378225299,6146,7278,2423,43,15890,fixed_threshold_0p50
Canterbury multi-site external transfer,conservative_max_M0_M3,75.0,0.5,0.660981749528005,6146,7278,2423,43,15890,fixed_threshold_0p50
Canterbury multi-site external transfer,conservative_max_M0_M3,100.0,0.5,0.7286343612334801,6146,7278,2423,43,15890,fixed_threshold_0p50
