holdout_family,site_id,site_family,model_name,pf,observed_liquefaction,validation_protocol,holdout_family_pair,validation_split,wtd_event_site_adjusted_m,qc10_mpa,ic_median,theta_z_m,year,layer_id,csr,crr,fs,beta_equivalent,critical_layer_rank,notes
Harbor Island,Harbor_Island_02,Harbor Island,M2_nonstationary_groundwater_gradation,0.9997919243038751,1,leave-one-site-family-out spatial validation,,,2.2271068068509114,3.868187174,1.0722716584259975,1.0798319327731092,2001,site_screening_profile,,,,-3.5296235203389297,,spatial cross-fitted site-calibrated probability
Harbor Island,Harbor_Island_01,Harbor Island,M3_full_nonstationary_random_field,0.9975133951554244,1,leave-one-site-family-out spatial validation,,,3.0805468068509114,3.9841733020000003,1.2834571254132703,0.5819327731092436,2001,site_screening_profile,,,,-2.8087639449645914,,spatial cross-fitted site-calibrated probability
Harbor Island,Harbor_Island_02,Harbor Island,M3_full_nonstationary_random_field,0.9979409978142761,1,leave-one-site-family-out spatial validation,,,2.2271068068509114,3.868187174,1.0722716584259975,1.0798319327731092,2001,site_screening_profile,,,,-2.8689780026573666,,spatial cross-fitted site-calibrated probability
Issaquah,Issaquah_01,Issaquah,M0_static_stationary,0.00910342207561673,0,leave-one-site-family-out spatial validation,,,2.2271068068509114,0.79891752,1.2362159257434429,0.4159663865546218,2001,site_screening_profile,,,,2.3613844643844275,,spatial cross-fitted site-calibrated probability
Issaquah,Issaquah_01,Issaquah,M1_nonstationary_groundwater_only,0.009672149050380824,0,leave-one-site-family-out spatial validation,,,2.2271068068509114,0.79891752,1.2362159257434429,0.4159663865546218,2001,site_screening_profile,,,,2.3388287510241708,,spatial cross-fitted site-calibrated probability
Issaquah,Issaquah_01,Issaquah,M2_nonstationary_groundwater_gradation,0.014942698180176173,0,leave-one-site-family-out spatial validation,,,2.2271068068509114,0.79891752,1.2362159257434429,0.4159663865546218,2001,site_screening_profile,,,,2.1716059696701135,,spatial cross-fitted site-calibrated probability
Issaquah,Issaquah_01,Issaquah,M3_full_nonstationary_random_field,0.030077742232835835,0,leave-one-site-family-out spatial validation,,,2.2271068068509114,0.79891752,1.2362159257434429,0.4159663865546218,2001,site_screening_profile,,,,1.8796522705439793,,spatial cross-fitted site-calibrated probability
SODO,SODO_01,SODO,M0_static_stationary,0.9876956209824298,1,leave-one-site-family-out spatial validation,,,2.836706806850911,0.47215432,1.2784384036251877,0.9138655462184874,2001,site_screening_profile,,,,-2.247489544539595,,spatial cross-fitted site-calibrated probability
SODO,SODO_02,SODO,M0_static_stationary,0.8164642500753239,1,leave-one-site-family-out spatial validation,,,1.9223068068509113,3.3281883740000002,1.3085117789780403,1.245798319327731,2001,site_screening_profile,,,,-0.9019724555886414,,spatial cross-fitted site-calibrated probability
SODO,SODO_03,SODO,M0_static_stationary,0.8037534706220638,1,leave-one-site-family-out spatial validation,,,2.5319068068509116,1.216414808,1.4330957770653538,0.7478991596638656,2001,site_screening_profile,,,,-0.8551049333003493,,spatial cross-fitted site-calibrated probability
