site_id,event_key,pga_g,wtd_event_site_adjusted_m,manifestation_code,observed_liquefaction,severe_manifestation,critical_layer_depth_m,critical_layer_qc_mpa,critical_layer_saturated,critical_crossing_margin_m
Canterbury_02252,Yr2010,0.204,1.4012222290039,0,0,0,0.985,1.93834,0,-0.41622222900390005
Canterbury_02252,Yr2011,0.363,1.4173846244812,1,1,0,0.985,1.93834,0,-0.4323846244812001
Canterbury_02252,Yr2016,0.102532759,1.1255954239845267,0,0,0,0.985,1.93834,0,-0.14059542398452674
Canterbury_02253,Yr2010,0.205,1.14198446273803,0,0,0,4.05,0.85768,1,2.90801553726197
Canterbury_02253,Yr2011,0.358,1.13359344005584,0,0,0,4.05,0.85768,1,2.9164065599441598
Canterbury_02253,Yr2016,0.101608872,0.8572992382287913,0,0,0,4.05,0.85768,1,3.1927007617712087
Canterbury_02254,Yr2010,0.206,1.32954490184783,0,0,0,0.965,0.79748,0,-0.36454490184783006
Canterbury_02254,Yr2011,0.352,1.31493532657623,0,0,0,0.965,0.79748,0,-0.34993532657623005
Canterbury_02254,Yr2016,0.101043448,1.028739857745168,0,0,0,0.965,0.79748,0,-0.0637398577451681
Canterbury_02255,Yr2010,0.207,1.49482595920562,0,0,0,0.83,0.8642000000000001,0,-0.6648259592056199
Canterbury_02255,Yr2011,0.352,1.52556300163269,4,1,1,0.83,0.8642000000000001,0,-0.69556300163269
Canterbury_02255,Yr2016,0.101480603,1.2278672617435453,0,0,0,0.83,0.8642000000000001,0,-0.39786726174354536
Canterbury_02256,Yr2010,0.212,1.63688218593597,0,0,0,0.71,5.39407,0,-0.9268821859359699
Canterbury_02256,Yr2011,0.318,1.7315227985382,4,1,1,0.71,5.39407,0,-1.0215227985382
Canterbury_02256,Yr2016,0.099911712,1.4225816537380145,0,0,0,0.71,5.39407,0,-0.7125816537380145
Canterbury_02257,Yr2010,0.212,1.73237967491149,0,0,0,1.93,0.53686,1,0.19762032508851002
Canterbury_02257,Yr2011,0.322,1.78982496261596,4,1,1,1.93,0.53686,1,0.14017503738404002
Canterbury_02257,Yr2016,0.100441784,1.4777005196571287,0,0,0,1.93,0.53686,1,0.45229948034287126
Canterbury_02258,Yr2010,0.212,1.67778480052948,0,0,0,0.72,0.887,0,-0.95778480052948
Canterbury_02258,Yr2011,0.321,1.72919189929962,1,1,0,0.72,0.887,0,-1.00919189929962
Canterbury_02258,Yr2016,0.098513037,1.420378021597861,0,0,0,0.72,0.887,0,-0.700378021597861
Canterbury_02259,Yr2010,0.21,1.54165041446685,0,0,0,1.33,12.13572,0,-0.21165041446684985
Canterbury_02259,Yr2011,0.33,1.53248298168182,4,1,1,1.33,12.13572,0,-0.20248298168181988
Canterbury_02259,Yr2016,0.104170173,1.2344094108819927,0,0,0,1.33,12.13572,1,0.09559058911800733
Canterbury_02260,Yr2010,0.209,1.90548062324523,0,0,0,1.375,1.2542,0,-0.5304806232452299
Canterbury_02260,Yr2011,0.336,1.87948310375213,4,1,1,1.375,1.2542,0,-0.50448310375213
Canterbury_02260,Yr2016,0.105542988,1.5624633262872638,0,0,0,1.375,1.2542,0,-0.1874633262872638
Canterbury_02261,Yr2010,0.209,1.83570790290832,0,0,0,1.54,1.09968,0,-0.29570790290832005
Canterbury_02261,Yr2011,0.336,1.79398584365844,4,1,1,1.54,1.09968,0,-0.2539858436584399
Canterbury_02261,Yr2016,0.105482779,1.4816342165946892,0,0,0,1.54,1.09968,1,0.058365783405310845
